familia,level_type,n_harmonicos,R2_OOS,RMSE,MAE,Bias
nivel_local,local level,1,0.8567496216642349,31.186065185337778,23.826263605806027,-0.9610796058199975
nivel_local,local level,2,0.8484748975854195,32.07413749546431,25.293792836926073,-0.27088289126312026
nivel_local,local level,3,0.775259216779226,39.06192470256059,29.00146835511077,0.7327793269609759
nivel_local,local level,4,0.7729752197093476,39.25991233581972,30.49656468878112,-0.6871918656741431
nivel_local,local level,5,0.7719340281667633,39.349837161874305,30.539602951981887,-0.6890979515454255
tendencia_local,local linear trend,1,0.8557392020366195,31.29585771064811,24.055526452287076,-1.840157567906679
tendencia_local,local linear trend,2,0.847525949897939,32.174415182925436,25.391573990510775,-1.0262581858384219
tendencia_local,local linear trend,3,0.7724953647836048,39.3013816369292,29.102693843589343,0.3578943881304072
tendencia_local,local linear trend,4,0.7720619949666312,39.33879610379799,30.603334208223725,-0.9388634144115092
tendencia_local,local linear trend,5,0.7710184833790721,39.42874076662065,30.640043704151992,-0.9401326151099376
