modelo,periodo_dominante_residuo_4a30,potencia_pico,potencia_relativa_9a13,n_residuos
M3_baseline_tendencia_local_H1,5.760869565217392,3240.5475428607742,0.053037605311676374,265
M5_custom_BoxCox_ciclo_amortecido,4.818181818181818,2347.5764668040692,0.10738232651238092,265
M6_tendencia_mais_ciclo_usual,11.041666666666666,5710.518068470719,0.30231535034194795,265
