modelo,intervalo,cobertura_observada,largura_media,RMSE_ponto,MAE_ponto
M5_custom_BoxCox_ciclo_amortecido,80%,0.8787878787878788,59.9561593301351,24.369537192205414,18.632794805093937
M3_baseline_tendencia_local_H1,80%,0.8181818181818182,63.86356192649339,25.805491959657182,19.706913732714153
M6_tendencia_mais_ciclo_usual,80%,0.7575757575757576,67.70492795873731,30.655171357942002,22.802548406471974
M5_custom_BoxCox_ciclo_amortecido,95%,0.9090909090909091,90.83879352569666,24.369537192205414,18.632794805093937
M3_baseline_tendencia_local_H1,95%,0.9393939393939394,91.71335440397011,25.805491959657182,19.706913732714153
M6_tendencia_mais_ciclo_usual,95%,0.8787878787878788,98.29460964238848,30.655171357942002,22.802548406471974
