modelo,R2_OOS,RMSE,MAE,Bias
M5_custom_BoxCox_ciclo_amortecido,0.9028920408958523,17.347002450124997,13.222371400104459,-0.2668572639107877
M1_nivel_local_H1,0.8918271788255921,18.308640815370453,13.89888324947549,-0.7598057508053759
M2_nivel_local_HN,0.8918271788255921,18.308640815370453,13.89888324947549,-0.7598057508053759
M3_tendencia_local_H1,0.8911082452111667,18.369381115984822,13.934021062382312,-1.2606212307586127
M4_tendencia_local_HN,0.8911082452111667,18.369381115984822,13.934021062382312,-1.2606212307586127
M6_conformidade_tendencia_mais_ciclo_usual,0.8448433644966508,21.927150791895,16.386368784490813,-1.4741183398460653
