modelo,regime_atividade,n,atividade_media,erro_medio,erro_abs_medio,erro_abs_mediano,rmse_regime
M3_tendencia_local_H1,baixa,6,17.05,-20.464208789472448,20.464208789472448,20.35640546769576,24.194913447288027
M3_tendencia_local_H1,media,13,62.43846153846154,7.536435740613736,21.31795522967978,20.074503177692726,25.59158047733818
M3_tendencia_local_H1,alta,14,183.40714285714284,-2.5652579737188796,28.136693014485836,22.598232757989322,38.07396327947358
M5_BoxCox_ciclo_amortecido,baixa,6,17.05,-19.721429330606963,19.721429330606963,14.552987279647343,22.316489682652172
M5_BoxCox_ciclo_amortecido,media,13,62.43846153846154,4.20309618993243,20.9041037550659,24.253919222075226,23.28511734141719
M5_BoxCox_ciclo_amortecido,alta,14,183.40714285714284,3.344321015495545,26.983896719947325,21.607525851443754,36.47830481480451
M6_tendencia_mais_ciclo_usual,baixa,6,17.05,-4.384377062430333,9.407354481486761,6.361363152702403,12.814645015662167
M6_tendencia_mais_ciclo_usual,media,13,62.43846153846154,7.939573116716426,27.4087235163927,25.455298083377983,30.40264623997629
M6_tendencia_mais_ciclo_usual,alta,14,183.40714285714284,-5.21335843671839,37.65020845429133,33.04784217724402,47.57407801415613
