year,real,M1_nivel_local_H1_pred,M1_nivel_local_H1_error,M1_nivel_local_H1_abs_error,M2_nivel_local_HN_pred,M2_nivel_local_HN_error,M2_nivel_local_HN_abs_error,M3_tendencia_local_H1_pred,M3_tendencia_local_H1_error,M3_tendencia_local_H1_abs_error,M4_tendencia_local_HN_pred,M4_tendencia_local_HN_error,M4_tendencia_local_HN_abs_error,M5_custom_BoxCox_ciclo_amortecido_pred,M5_custom_BoxCox_ciclo_amortecido_error,M5_custom_BoxCox_ciclo_amortecido_abs_error,M6_conformidade_tendencia_mais_ciclo_usual_pred,M6_conformidade_tendencia_mais_ciclo_usual_error,M6_conformidade_tendencia_mais_ciclo_usual_abs_error,regime_atividade
1976,18.4,30.600560369918938,-12.20056036991894,12.20056036991894,30.600560369918938,-12.20056036991894,12.20056036991894,30.950682414027106,-12.550682414027108,12.550682414027108,30.950682414027106,-12.550682414027108,12.550682414027108,29.298679501726465,-10.898679501726466,10.898679501726466,24.899351026593166,-6.4993510265931675,6.4993510265931675,baixa
1977,39.3,40.43704533891069,-1.1370453389106956,1.1370453389106956,40.43704533891069,-1.1370453389106956,1.1370453389106956,40.706835606231564,-1.4068356062315672,1.4068356062315672,40.706835606231564,-1.4068356062315672,1.4068356062315672,35.751407919164954,3.548592080835043,3.548592080835043,32.71987138369244,6.5801286163075545,6.5801286163075545,media
1978,131.0,73.91931047526309,57.08068952473691,57.08068952473691,73.91931047526309,57.08068952473691,57.08068952473691,74.16950246234546,56.83049753765454,56.83049753765454,74.16950246234546,56.83049753765454,56.83049753765454,70.94025157551243,60.059748424487566,60.059748424487566,67.18110655244126,63.818893447558736,63.818893447558736,alta
1979,220.1,183.73230950897454,36.367690491025456,36.367690491025456,183.73230950897454,36.367690491025456,36.367690491025456,184.31500185828082,35.78499814171917,35.78499814171917,184.31500185828082,35.78499814171917,35.78499814171917,183.2835012169137,36.8164987830863,36.8164987830863,181.15600210486934,38.94399789513065,38.94399789513065,alta
1980,218.9,256.49003719054264,-37.59003719054263,37.59003719054263,256.49003719054264,-37.59003719054263,37.59003719054263,257.4433117195521,-38.54331171955212,38.54331171955212,257.4433117195521,-38.54331171955212,38.54331171955212,247.2848955906733,-28.384895590673295,28.384895590673295,266.563666930037,-47.66366693003701,47.66366693003701,alta
1981,198.9,199.11252811702428,-0.2125281170242772,0.2125281170242772,199.11252811702428,-0.2125281170242772,0.2125281170242772,200.02587310249532,-1.1258731024953192,1.1258731024953192,200.02587310249532,-1.1258731024953192,1.1258731024953192,188.8262229125845,10.073777087415493,10.073777087415493,223.7841678659974,-24.884167865997398,24.884167865997398,alta
1982,162.4,147.52194923550678,14.878050764493224,14.878050764493224,147.52194923550678,14.878050764493224,14.878050764493224,148.3950658064886,14.004934193511417,14.004934193511417,148.3950658064886,14.004934193511417,14.004934193511417,143.2599035648076,19.14009643519242,19.14009643519242,174.421428776214,-12.02142877621398,12.02142877621398,alta
1983,91.0,100.00910845186876,-9.009108451868755,9.009108451868755,100.00910845186876,-9.009108451868755,9.009108451868755,100.9208865460733,-9.920886546073305,9.920886546073305,100.9208865460733,-9.920886546073305,9.920886546073305,104.11476174321871,-13.114761743218708,13.114761743218708,120.56863909089964,-29.568639090899637,29.568639090899637,alta
1984,60.5,27.616458591158235,32.883541408841765,32.883541408841765,27.616458591158235,32.883541408841765,32.883541408841765,28.475092852281207,32.02490714771879,32.02490714771879,28.475092852281207,32.02490714771879,32.02490714771879,44.36386542560884,16.136134574391157,16.136134574391157,37.28844088510111,23.21155911489889,23.21155911489889,media
1985,20.6,29.847066740941344,-9.247066740941342,9.247066740941342,29.847066740941344,-9.247066740941342,9.247066740941342,30.840506366603705,-10.240506366603704,10.240506366603704,30.840506366603705,-10.240506366603704,10.240506366603704,41.021995652613775,-20.421995652613774,20.421995652613774,23.974186439941178,-3.3741864399411767,3.3741864399411767,baixa
1986,14.8,13.75842742730427,1.0415725726957312,1.0415725726957312,13.75842742730427,1.0415725726957312,1.0415725726957312,14.743543475553295,0.05645652444670546,0.05645652444670546,14.743543475553295,0.05645652444670546,0.05645652444670546,18.65190141049169,-3.8519014104916884,3.8519014104916884,-1.957624650862357,16.757624650862358,16.757624650862358,baixa
1987,33.9,38.75075717573377,-4.850757175733769,4.850757175733769,38.75075717573377,-4.850757175733769,4.850757175733769,39.714496789594065,-5.814496789594067,5.814496789594067,39.714496789594065,-5.814496789594067,5.814496789594067,33.41983807034915,0.4801619296508477,0.4801619296508477,16.560069522330565,17.339930477669434,17.339930477669434,media
1988,123.0,79.17320472604027,43.82679527395973,43.82679527395973,79.17320472604027,43.82679527395973,43.82679527395973,80.07767364223812,42.922326357761875,42.922326357761875,80.07767364223812,42.922326357761875,42.922326357761875,74.3094708584615,48.690529141538505,48.690529141538505,57.33795798875029,65.66204201124971,65.66204201124971,alta
1989,211.1,189.85072874100322,21.24927125899677,21.24927125899677,189.85072874100322,21.24927125899677,21.24927125899677,190.94467892029394,20.155321079706056,20.155321079706056,190.94467892029394,20.155321079706056,20.155321079706056,190.5590225649641,20.5409774350359,20.5409774350359,173.74506657985467,37.35493342014533,37.35493342014533,alta
1990,191.8,262.8365528630553,-71.0365528630553,71.0365528630553,262.8365528630553,-71.0365528630553,71.0365528630553,264.1133986254671,-72.31339862546707,72.31339862546707,264.1133986254671,-72.31339862546707,72.31339862546707,255.63610022826435,-63.83610022826434,63.83610022826434,261.8922184090736,-70.09221840907361,70.09221840907361,alta
1991,203.3,181.74496149252883,21.55503850747118,21.55503850747118,181.74496149252883,21.55503850747118,21.55503850747118,182.69617526143725,20.603824738562764,20.603824738562764,182.69617526143725,20.603824738562764,20.603824738562764,173.56545758374733,29.73454241625268,29.73454241625268,198.6285727236584,4.671427276341603,4.671427276341603,alta
1992,133.0,175.37896064602634,-42.37896064602634,42.37896064602634,175.37896064602634,-42.37896064602634,42.37896064602634,176.26255693218027,-43.262556932180274,43.262556932180274,176.26255693218027,-43.262556932180274,43.262556932180274,167.23952319209118,-34.239523192091184,34.239523192091184,195.10715862540667,-62.10715862540667,62.10715862540667,alta
1993,76.1,73.69315451322178,2.4068454867782094,2.4068454867782094,73.69315451322178,2.4068454867782094,2.4068454867782094,74.30225313604524,1.7977468639547567,1.7977468639547567,74.30225313604524,1.7977468639547567,1.7977468639547567,80.71290522529127,-4.6129052252912714,4.6129052252912714,93.08553437501712,-16.985534375017124,16.985534375017124,alta
1994,44.9,25.613669124618966,19.286330875381033,19.286330875381033,25.613669124618966,19.286330875381033,19.286330875381033,26.104197819760685,18.795802180239313,18.795802180239313,26.104197819760685,18.795802180239313,18.795802180239313,39.77882156982192,5.121178430178077,5.121178430178077,33.61391682482109,11.28608317517891,11.28608317517891,media
1995,25.1,23.482242824395016,1.6177571756049858,1.6177571756049858,23.482242824395016,1.6177571756049858,1.6177571756049858,24.03234108999601,1.067658910003992,1.067658910003992,24.03234108999601,1.067658910003992,1.067658910003992,32.32078094859012,-7.220780948590118,7.220780948590118,18.3180494003731,6.781950599626903,6.781950599626903,media
1996,11.6,30.581272278768736,-18.981272278768735,18.981272278768735,30.581272278768736,-18.981272278768735,18.981272278768735,31.186802549171574,-19.586802549171573,19.586802549171573,31.186802549171574,-19.586802549171573,19.586802549171573,31.106067230759223,-19.50606723075922,19.50606723075922,16.860801666129987,-5.2608016661299875,5.2608016661299875,baixa
1997,28.9,36.14023500750413,-7.240235007504133,7.240235007504133,36.14023500750413,-7.240235007504133,7.240235007504133,36.68604471270962,-7.786044712709618,7.786044712709618,36.68604471270962,-7.786044712709618,7.786044712709618,28.87684836384678,0.023151636153219357,0.023151636153219357,19.18481126203099,9.715188737969008,9.715188737969008,media
1998,88.3,71.95561978609051,16.34438021390949,16.34438021390949,71.95561978609051,16.34438021390949,16.34438021390949,72.44627312669562,15.853726873304382,15.853726873304382,72.44627312669562,15.853726873304382,15.853726873304382,66.30136960967339,21.99863039032661,21.99863039032661,55.602472558028495,32.6975274419715,32.6975274419715,alta
1999,136.3,144.31013575396372,-8.01013575396371,8.01013575396371,144.31013575396372,-8.01013575396371,8.01013575396371,144.87444585118365,-8.57444585118364,8.57444585118364,144.87444585118365,-8.57444585118364,8.57444585118364,143.17274840046542,-6.872748400465412,6.872748400465412,133.51853372359304,2.7814662764069737,2.7814662764069737,alta
2000,173.9,177.25644245485557,-3.356442454855568,3.356442454855568,177.25644245485557,-3.356442454855568,3.356442454855568,177.82765900501815,-3.9276590050181426,3.9276590050181426,177.82765900501815,-3.9276590050181426,3.9276590050181426,171.80030539788513,2.09969460211488,2.09969460211488,178.34322850482357,-4.443228504823566,4.443228504823566,alta
2001,170.4,189.77371201375246,-19.373712013752453,19.373712013752453,189.77371201375246,-19.373712013752453,19.373712013752453,190.34020544399755,-19.94020544399754,19.94020544399754,190.34020544399755,-19.94020544399754,19.94020544399754,179.9439569615548,-9.543956961554784,9.543956961554784,202.16869187580465,-31.76869187580465,31.76869187580465,alta
2002,163.6,152.37172389437006,11.22827610562993,11.22827610562993,152.37172389437006,11.22827610562993,11.22827610562993,152.84229467888525,10.757705321114742,10.757705321114742,152.84229467888525,10.757705321114742,10.757705321114742,144.4469903596709,19.15300964032909,19.15300964032909,172.77710612292717,-9.17710612292717,9.17710612292717,alta
2003,99.3,129.9991008230827,-30.699100823082702,30.699100823082702,129.9991008230827,-30.699100823082702,30.699100823082702,130.4916057123616,-31.191605712361607,31.191605712361607,130.4916057123616,-31.191605712361607,31.191605712361607,125.67783753294908,-26.377837532949087,26.377837532949087,150.3752649992371,-51.07526499923709,51.07526499923709,alta
2004,65.3,46.72199166294618,18.578008337053816,18.578008337053816,46.72199166294618,18.578008337053816,18.578008337053816,47.07753429667869,18.222465703321305,18.222465703321305,47.07753429667869,18.222465703321305,18.222465703321305,56.141382232260696,9.158617767739301,9.158617767739301,63.4160526176576,1.8839473823423987,1.8839473823423987,media
2005,45.8,30.632239206170134,15.167760793829864,15.167760793829864,30.632239206170134,15.167760793829864,15.167760793829864,31.032453384665203,14.767546615334794,14.767546615334794,31.032453384665203,14.767546615334794,14.767546615334794,40.69672547893391,5.103274521066091,5.103274521066091,35.52805937018661,10.271940629813386,10.271940629813386,media
2006,24.7,35.21602016920585,-10.516020169205849,10.516020169205849,35.21602016920585,-10.516020169205849,10.516020169205849,35.73501874346199,-11.035018743461993,11.035018743461993,35.73501874346199,-11.035018743461993,11.035018743461993,40.30858775654135,-15.60858775654135,15.60858775654135,30.015335896305345,-5.315335896305346,5.315335896305346,baixa
2007,12.6,31.20859037783103,-18.608590377831028,18.608590377831028,31.20859037783103,-18.608590377831028,18.608590377831028,31.74345853507117,-19.14345853507117,19.14345853507117,31.74345853507117,-19.14345853507117,19.14345853507117,31.123471035142252,-18.52347103514225,18.52347103514225,20.414171086287226,-7.814171086287226,7.814171086287226,baixa
2008,4.2,34.06695430189167,-29.86695430189167,29.86695430189167,34.06695430189167,-29.86695430189167,29.86695430189167,34.51844633601255,-30.318446336012553,30.318446336012553,34.51844633601255,-30.318446336012553,30.318446336012553,28.189400861933784,-23.989400861933785,23.989400861933785,20.83212922026938,-16.63212922026938,16.63212922026938,baixa
