comparacao,n,media_MSE_baseline_menos_modelo,media_MAE_baseline_menos_modelo,t_pvalue_unilateral_MSE,wilcoxon_pvalue_unilateral_MAE,bootstrap_p05_MSE_diff,bootstrap_p50_MSE_diff,bootstrap_p95_MSE_diff,bootstrap_prob_modelo_melhor_MSE
M3 baseline vs M5 proposto,33,110.76266906795206,0.7871483044458304,0.0672786203903498,0.41622549924068153,42.03132664482507,129.37074852554076,219.11667569708072,0.99975
M6 ciclo usual vs M5 proposto,33,485.50053573596097,5.2122415782831295,0.004556179404938032,0.02317395620048046,321.285074792592,540.1615193330972,757.391345354928,1.0
