modelo_ablação,transformacao_BoxCox,ciclo_estocastico,ciclo_amortecido,period_bounds,R2_OOS,RMSE,MAE,Bias,delta_RMSE_vs_baseline,ganho_percentual_RMSE_vs_baseline
A4_BoxCox_mais_ciclo_amortecido_M5,True,True,True,"(10, 14)",0.8939843049167115,24.369537192205414,18.632794805093937,0.02651521283292247,-1.4359547674517685,5.564531649683941
A3_BoxCox_mais_ciclo_nao_amortecido,True,True,False,"(10, 14)",0.8881129392366859,25.035261468169733,18.68474302096874,-0.6532888142642768,-0.7702304914874496,2.9847541472628523
A1_BoxCox_mais_tendencia_local_H1,True,False,False,11 fixo por harmônico,0.8820940337266195,25.69982048817571,18.724921252205867,-1.6091373393977955,-0.10567147148147171,0.40949217959755385
A0_baseline_tendencia_local_H1,False,False,False,11 fixo por harmônico,0.8811224384758057,25.805491959657182,19.706913732714153,-1.3041308122078112,0.0,-0.0
A2_ciclo_amortecido_sem_BoxCox,False,True,True,"(10, 14)",0.8414657394755936,29.800514662952555,22.316802725036005,-1.0001515373085577,3.9950227032953727,-15.481288671190462
