modelo,llf,AIC,BIC,HQIC,nobs
M5_custom_BoxCox_ciclo_amortecido,-951.8003249951432,1919.6006499902865,1948.5638569160237,1931.2230978267867,276
M1_nivel_local_H1,-1272.2296154037701,2556.4592308075403,2578.1816360018433,2565.1760666849154,276
M2_nivel_local_HN,-1272.2296154037701,2556.4592308075403,2578.1816360018433,2565.1760666849154,276
M3_tendencia_local_H1,-1272.7802458381823,2561.5604916763646,2590.523698602102,2573.182939512865,276
M4_tendencia_local_HN,-1272.7802458381823,2561.5604916763646,2590.523698602102,2573.182939512865,276
M6_conformidade_tendencia_mais_ciclo_usual,-1304.9409383099705,2627.881876619941,2660.465484411395,2640.957130436004,276
