bloco,n,media,desvio_padrao,maximo
1700-1760,61,63.09508196721312,50.31055696448315,203.3
1761-1820,60,76.63833333333334,63.59851850866635,257.3
1821-1880,60,85.27666666666667,64.20824533003204,232.0
1881-1940,60,70.54333333333334,50.302927659068175,190.6
1941-1975,35,103.19142857142856,75.59744927002798,269.3
