n_valid,valid_start,valid_end,lambda,period_bounds,baseline_RMSE,custom_RMSE,delta_RMSE_custom_menos_base,baseline_R2,custom_R2,custom_ganhou
22,1987,2008,0.75,"(10, 14)",25.566844439399894,23.712286103803603,-1.8545583355962911,0.8648285457993782,0.8837273472991911,True
33,1976,2008,0.75,"(10, 14)",25.805491959657182,24.369537192205414,-1.4359547674517685,0.8811224384758057,0.8939843049167115,True
44,1965,2008,0.75,"(10, 14)",25.94747968259871,24.070870289734792,-1.8766093928639194,0.8605269636054353,0.8799717484178895,True
55,1954,2008,0.75,"(10, 14)",28.415075009646422,26.594353526733954,-1.820721482912468,0.8710345043042821,0.887032168190643,True
66,1943,2008,0.75,"(10, 14)",28.696855380058302,27.109069478036144,-1.5877859020221585,0.8688951474523869,0.8830017490082417,True
